Title,Web,Category,Fetched_Title,Abstract,Authors,Journal,Keywords
"Elementary gates for quantum computation - Adriano Barenco, Charles H. Bennett, Richard Cleve, David P. DiVincenzo, ...",https://journals.aps.org/pra/abstract/10.1103/PhysRevA.52.3457?cm_mc_uid=43781767191014577577895&cm_mc_sid_50200000=1460741020,,Elementary gates for quantum computation,Unknown,"Adriano Barenco, Charles H. Bennett, Richard Cleve, David P. DiVincenzo, Norman Margolus, Peter Shor, Tycho Sleator, John A. Smolin, Harald Weinfurter",Physical Review A,
"Error Correction of Quantum Algorithms: Arbitrarily Accurate Recovery Of Noisy Quantum Signal Processing - Andrew K. Tan, Yuan Liu, Minh C. Tran, Isaac L. Chuang",https://arxiv.org/pdf/2301.08542.pdf,,"Error Correction of Quantum Algorithms: Arbitrarily Accurate Recovery Of
  Noisy Quantum Signal Processing","The intrinsic probabilistic nature of quantum systems makes error correction
or mitigation indispensable for quantum computation. While current
error-correcting strategies focus on correcting errors in quantum states or
quantum gates, these fine-grained error-correction methods can incur
significant overhead for quantum algorithms of increasing complexity. We
present a first step in achieving error correction at the level of quantum
algorithms by combining a unified perspective on modern quantum algorithms via
quantum signal processing (QSP). An error model of under- or over-rotation of
the signal processing operator parameterized by $\epsilon < 1$ is introduced.
It is shown that while Pauli $Z$-errors are not recoverable without additional
resources, Pauli $X$ and $Y$ errors can be arbitrarily suppressed by coherently
appending a noisy `recovery QSP.' Furthermore, it is found that a recovery QSP
of length $O(2^k c^{k^2} d)$ is sufficient to correct any length-$d$ QSP with
$c$ unique phases to $k^{th}$-order in error $\epsilon$. Allowing an additional
assumption, a lower bound of $\Omega(cd)$ is shown, which is tight for $k = 1$,
on the length of the recovery sequence. Our algorithmic-level error correction
method is applied to Grover's fixed-point search algorithm as a demonstration.","Andrew K. Tan, Yuan Liu, Minh C. Tran, Isaac L. Chuang",arXiv,quant-ph
Experimental Estimation of Quantum State Properties from Classical Shadows,https://arxiv.org/abs/2008.05234,Measurement & State Estimation,"Experimental Estimation of Quantum State Properties from Classical
  Shadows","Full quantum tomography of high-dimensional quantum systems is experimentally
infeasible due to the exponential scaling of the number of required
measurements on the number of qubits in the system. However, several ideas were
proposed recently for predicting the limited number of features for these
states, or estimating the expectation values of operators, without the need for
full state reconstruction. These ideas go under the general name of shadow
tomography. Here we provide an experimental demonstration of property
estimation based on classical shadows proposed in [H.-Y. Huang, R. Kueng, J.
Preskill. Nat. Phys. https://doi.org/10.1038/s41567-020-0932-7 (2020)] and
study its performance in the quantum optical experiment with high-dimensional
spatial states of photons. We show on experimental data how this procedure
outperforms conventional state reconstruction in fidelity estimation from a
limited number of measurements.","G. I. Struchalin, Ya. A. Zagorovskii, E. V. Kovlakov, S. S. Straupe, S. P. Kulik",arXiv,quant-ph
Experimental demonstration of memory-enhanced quantum communication,https://arxiv.org/abs/1909.01323,Quantum Photonics,Experimental demonstration of memory-enhanced quantum communication,"The ability to communicate quantum information over long distances is of
central importance in quantum science and engineering. For example, it enables
secure quantum key distribution (QKD) relying on fundamental principles that
prohibit the ""cloning"" of unknown quantum states. While QKD is being
successfully deployed, its range is currently limited by photon losses and
cannot be extended using straightforward measure-and-repeat strategies without
compromising its unconditional security. Alternatively, quantum repeaters,
which utilize intermediate quantum memory nodes and error correction
techniques, can extend the range of quantum channels. However, their
implementation remains an outstanding challenge, requiring a combination of
efficient and high-fidelity quantum memories, gate operations, and
measurements. Here we report the experimental realization of memory-enhanced
quantum communication. We use a single solid-state spin memory integrated in a
nanophotonic diamond resonator to implement asynchronous Bell-state
measurements. This enables a four-fold increase in the secret key rate of
measurement device independent (MDI)-QKD over the loss-equivalent
direct-transmission method while operating megahertz clock rates. Our results
represent a significant step towards practical quantum repeaters and
large-scale quantum networks.","Mihir K. Bhaskar, Ralf Riedinger, Bartholomeus Machielse, David S. Levonian, Christian T. Nguyen, Erik N. Knall, Hongkun Park, Dirk Englund, Marko Lončar, Denis D. Sukachev, Mikhail D. Lukin",arXiv,quant-ph
"Exponential speedups for quantum walks in random hierarchical graphs - Shankar Balasubramanian, Tongyang Li, and Aram Harrow",https://arxiv.org/abs/2307.15062,,Exponential speedups for quantum walks in random hierarchical graphs,"There are few known exponential speedups for quantum algorithms and these
tend to fall into even fewer families. One speedup that has mostly resisted
generalization is the use of quantum walks to traverse the welded-tree graph,
due to Childs, Cleve, Deotto, Farhi, Gutmann, and Spielman. We show how to
generalize this to a large class of hierarchical graphs in which the vertices
are grouped into ""supervertices"" which are arranged according to a
$d$-dimensional lattice. Supervertices can have different sizes, and edges
between supervertices correspond to random connections between their
constituent vertices.
  The hitting times of quantum walks on these graphs are related to the
localization properties of zero modes in certain disordered tight binding
Hamiltonians. The speedups range from superpolynomial to exponential, depending
on the underlying dimension and the random graph model. We also provide
concrete realizations of these hierarchical graphs, and introduce a general
method for constructing graphs with efficient quantum traversal times using
graph sparsification.","Shankar Balasubramanian, Tongyang Li, Aram Harrow",arXiv,"quant-ph, cond-mat.dis-nn, cond-mat.stat-mech, cond-mat.str-el"
Fault-tolerant Preparation of Stabilizer States for Quantum CSS Codes by Classical Error-Correcting Codes,https://arxiv.org/abs/1605.05647,Quantum Error Correction,"Fault-tolerant Preparation of Stabilizer States for Quantum CSS Codes by
  Classical Error-Correcting Codes","Stabilizer states are extensively studied in quantum information theory for
their structures based on the Pauli group. Calderbank-Shor-Steane (CSS)
stabilizer states are of particular importance in their application to
fault-tolerant quantum computation (FTQC). However, how to fault-tolerantly
prepare arbitrary CSS stabilizer states for general CSS stabilizer codes is
still unknown, and their preparation can be highly costly in computational
resources. In this paper, we show how to prepare a large class of CSS
stabilizer states useful for FTQC. We propose distillation protocols using
syndrome encoding by classical codes or quantum CSS codes. Along the same
lines, we show that classical coding techniques can reduce the ancilla
consumption in Steane syndrome extraction by using additional transversal
controlled-NOT gates and classical computing power. In the scenario of a fixed
ancilla consumption rate, we can increase the frequency of quantum error
correction and effectively lower the error rate.","Ching-Yi Lai, Yi-Cong Zheng, Todd A. Brun",arXiv,quant-ph
Field-Deployable Quantum Memory for Quantum Networking,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.18.044058,Quantum Memories,Field-Deployable Quantum Memory for Quantum Networking,Unknown,"Yang Wang, Alexander N. Craddock, Rourke Sekelsky, Mael Flament, Mehdi Namazi",Physical Review Applied,
Five open problems in theory of quantum information,https://arxiv.org/abs/2002.03233,Quantum Information Theory,Five open problems in quantum information,"We identify five selected open problems in the theory of quantum information,
which are rather simple to formulate, were well-studied in the literature, but
are technically not easy. As these problems enjoy diverse mathematical
connections, they offer a huge breakthrough potential. The first four concern
existence of certain objects relevant for quantum information, namely a family
of symmetric informationally complete generalized measurements in an infinite
sequence of dimensions, mutually unbiased bases in dimension six, absolutely
maximally entangled states for four subsystems with six levels each and bound
entangled states with negative partial transpose. The fifth problem requires
checking whether a certain state of a two-ququart system is 2-copy distillable.
An award for solving each of them is announced.","Paweł Horodecki, Łukasz Rudnicki, Karol Życzkowski",arXiv,quant-ph
Foundations for Near-Term Quantum Natural Language Processing,https://arxiv.org/abs/2012.03755,Natural Language Processing & Quantum Computing,Foundations for Near-Term Quantum Natural Language Processing,"We provide conceptual and mathematical foundations for near-term quantum
natural language processing (QNLP), and do so in quantum computer scientist
friendly terms. We opted for an expository presentation style, and provide
references for supporting empirical evidence and formal statements concerning
mathematical generality.
  We recall how the quantum model for natural language that we employ
canonically combines linguistic meanings with rich linguistic structure, most
notably grammar. In particular, the fact that it takes a quantum-like model to
combine meaning and structure, establishes QNLP as quantum-native, on par with
simulation of quantum systems. Moreover, the now leading Noisy
Intermediate-Scale Quantum (NISQ) paradigm for encoding classical data on
quantum hardware, variational quantum circuits, makes NISQ exceptionally
QNLP-friendly: linguistic structure can be encoded as a free lunch, in contrast
to the apparently exponentially expensive classical encoding of grammar.
  Quantum speed-up for QNLP tasks has already been established in previous work
with Will Zeng. Here we provide a broader range of tasks which all enjoy the
same advantage.
  Diagrammatic reasoning is at the heart of QNLP. Firstly, the quantum model
interprets language as quantum processes via the diagrammatic formalism of
categorical quantum mechanics. Secondly, these diagrams are via ZX-calculus
translated into quantum circuits. Parameterisations of meanings then become the
circuit variables to be learned.
  Our encoding of linguistic structure within quantum circuits also embodies a
novel approach for establishing word-meanings that goes beyond the current
standards in mainstream AI, by placing linguistic structure at the heart of
Wittgenstein's meaning-is-context.","Bob Coecke, Giovanni de Felice, Konstantinos Meichanetzidis, Alexis Toumi",arXiv,"quant-ph, cs.CL"
Fundamental Principle of Information-to-Energy Conversion - Antonio Alfonso-Faus,https://arxiv.org/abs/1401.6052,,Fundamental Principle of Information-to-Energy Conversion,"The equivalence of 1 bit of information to entropy was given by Landauer in
1961 as kln2, k the Boltzmann constant. Erasing information implies heat
dissipation and the energy of 1 bit would then be (the Landauers limit) kT ln
2, T being the ambient temperature. From a quantum-cosmological point of view
the minimum quantum of energy in the universe corresponds today to a
temperature of 10^(-29) degrees K, probably forming a cosmic background of a
Bose condensate [1]. Then, the bit with minimum energy today in the Universe is
a quantum of energy 10^(-45)ergs, with an equivalent mass of 10^(-66)g. Low
temperature implies low energy per bit and, of course, this is the way for
faster and less energy dissipating computing devices. Our conjecture is this:
the possibility of a future access to the CBBC (a coupling/channeling?) would
mean a huge jump in the performance of these devices.",Antonio Alfonso-Faus,arXiv,physics.gen-ph
Fusion-based quantum computation,https://arxiv.org/abs/2101.09310,Quantum Photonics,Fusion-based quantum computation,"We introduce fusion-based quantum computing (FBQC) - a model of universal
quantum computation in which entangling measurements, called fusions, are
performed on the qubits of small constant-sized entangled resource states. We
introduce a stabilizer formalism for analyzing fault tolerance and computation
in these schemes. This framework naturally captures the error structure that
arises in certain physical systems for quantum computing, such as photonics.
FBQC can offer significant architectural simplifications, enabling hardware
made up of many identical modules, requiring an extremely low depth of
operations on each physical qubit and reducing classical processing
requirements. We present two pedagogical examples of fault-tolerant schemes
constructed in this framework and numerically evaluate their threshold under a
hardware agnostic fusion error model including both erasure and Pauli error. We
also study an error model of linear optical quantum computing with
probabilistic fusion and photon loss. In FBQC the non-determinism of fusion is
directly dealt with by the quantum error correction protocol, along with other
errors. We find that tailoring the fault-tolerance framework to the physical
system allows the scheme to have a higher threshold than schemes reported in
literature. We present a ballistic scheme which can tolerate a 10.4%
probability of suffering photon loss in each fusion.","Sara Bartolucci, Patrick Birchall, Hector Bombin, Hugo Cable, Chris Dawson, Mercedes Gimeno-Segovia, Eric Johnston, Konrad Kieling, Naomi Nickerson, Mihir Pant, Fernando Pastawski, Terry Rudolph, Chris Sparrow",arXiv,quant-ph
Gate Set Tomography,https://arxiv.org/abs/2009.07301,Programmable Quantum Gates,Gate Set Tomography,"Gate set tomography (GST) is a protocol for detailed, predictive
characterization of logic operations (gates) on quantum computing processors.
Early versions of GST emerged around 2012-13, and since then it has been
refined, demonstrated, and used in a large number of experiments. This paper
presents the foundations of GST in comprehensive detail. The most important
feature of GST, compared to older state and process tomography protocols, is
that it is calibration-free. GST does not rely on pre-calibrated state
preparations and measurements. Instead, it characterizes all the operations in
a gate set simultaneously and self-consistently, relative to each other. Long
sequence GST can estimate gates with very high precision and efficiency,
achieving Heisenberg scaling in regimes of practical interest. In this paper,
we cover GST's intellectual history, the techniques and experiments used to
achieve its intended purpose, data analysis, gauge freedom and fixing, error
bars, and the interpretation of gauge-fixed estimates of gate sets. Our focus
is fundamental mathematical aspects of GST, rather than implementation details,
but we touch on some of the foundational algorithmic tricks used in the pyGSTi
implementation.","Erik Nielsen, John King Gamble, Kenneth Rudinger, Travis Scholten, Kevin Young, Robin Blume-Kohout",arXiv,quant-ph
"High Quality Entangled Photon Pair Generation in Periodically Poled Thin-Film Lithium Niobate Waveguides - Jie Zhao, Chaoxuan Ma, Michael Rüsing, and Shayan Mookherjea",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.124.163603,,High Quality Entangled Photon Pair Generation in Periodically Poled Thin-Film Lithium Niobate Waveguides,Unknown,"Jie Zhao, Chaoxuan Ma, Michael Rüsing, Shayan Mookherjea",Physical Review Letters,
Implementation of multidimensional quantum walks using linear optics and classical light,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.040302,Experimental Simulating Tools,Implementation of multidimensional quantum walks using linear optics and classical light,Unknown,"Sandeep K. Goyal, Filippus S. Roux, Andrew Forbes, Thomas Konrad",Physical Review A,
"Interference in Quantum Field Theory: Detecting Ghosts with Phases - Chiara Marletto, Vlatko Vedral",https://onlinelibrary.wiley.com/doi/full/10.1002/andp.202200530,,Interference in Quantum Field Theory: Detecting Ghosts with Phases,"AbstractThis study discusses the implications of the principle of locality for interference in quantum field theory. As an example, it considers the interaction of two charges via a mediating quantum field and the resulting interference pattern in the Lorenz gauge. Using the Heisenberg picture, it is proposed that detecting relative phases or entanglement between two charges in an interference experiment is equivalent to accessing empirically the gauge degrees of freedom associated with the so‐called ghost (scalar) modes of the field in the Lorenz gauge. These results imply that ghost modes are measurable and hence physically relevant, contrary to what is usually thought. They also raise interesting questions about the relation between the principle of locality and the principle of gauge‐invariance. This analysis also applies to linearized quantum gravity in the harmonic gauge, and hence has implications for the recently proposed entanglement‐based witnesses of non‐classicality in gravity.","Chiara Marletto, Vlatko Vedral",Annalen der Physik,
Is quantum computing green? An estimate for an energy-efficiency quantum advantage,https://arxiv.org/pdf/2205.12092.pdf,Quantum Markets and Hype,"Is quantum computing green? An estimate for an energy-efficiency quantum
  advantage","The quantum advantage threshold determines when a quantum processing unit
(QPU) is more efficient with respect to classical computing hardware in terms
of algorithmic complexity. The ""green"" quantum advantage threshold $-$ based on
a comparison of energetic efficiency between the two $-$ is going to play a
fundamental role in the comparison between quantum and classical hardware.
Indeed, its characterization would enable better decisions on energy-saving
strategies, e.g. for distributing the workload in hybrid quantum-classical
algorithms. Here, we show that the green quantum advantage threshold crucially
depends on (i) the quality of the experimental quantum gates and (ii) the
entanglement generated in the QPU. Indeed, for NISQ hardware and algorithms
requiring a moderate amount of entanglement, a classical tensor network
emulation can be more energy-efficient at equal final state fidelity than
quantum computation. We compute the green quantum advantage threshold for a few
paradigmatic examples in terms of algorithms and hardware platforms, and
identify algorithms with a power-law decay of singular values of bipartitions
$-$ with power-law exponent $\alpha \lesssim 1$ $-$ as the green quantum
advantage threshold in the near future.","Daniel Jaschke, Simone Montangero",arXiv,quant-ph
"Large-scale optical characterization of solid-state quantum emitters - Madison Sutula, et. al.",https://arxiv.org/pdf/2210.13643.pdf,,Large-scale optical characterization of solid-state quantum emitters,"Solid-state quantum emitters have emerged as a leading quantum memory for
quantum networking applications. However, standard optical characterization
techniques are neither efficient nor repeatable at scale. In this work, we
introduce and demonstrate spectroscopic techniques that enable large-scale,
automated characterization of color centers. We first demonstrate the ability
to track color centers by registering them to a fabricated machine-readable
global coordinate system, enabling systematic comparison of the same color
center sites over many experiments. We then implement resonant
photoluminescence excitation in a widefield cryogenic microscope to parallelize
resonant spectroscopy, achieving two orders of magnitude speed-up over confocal
microscopy. Finally, we demonstrate automated chip-scale characterization of
color centers and devices at room temperature, imaging thousands of microscope
fields of view. These tools will enable accelerated identification of useful
quantum emitters at chip-scale, enabling advances in scaling up color center
platforms for quantum information applications, materials science, and device
design and characterization.","Madison Sutula, Ian Christen, Eric Bersin, Michael P. Walsh, Kevin C. Chen, Justin Mallek, Alexander Melville, Michael Titze, Edward S. Bielejec, Scott Hamilton, Danielle Braje, P. Benjamin Dixon, Dirk R. Englund",arXiv,"quant-ph, cond-mat.mtrl-sci, physics.optics"
Locality in the Schrodinger Picture of Quantum Mechanics - Vlatko Vedral,https://arxiv.org/pdf/2312.04701.pdf,,Locality in the Schroedinger Picture of Quantum Mechanics,"We explain how the so-called Einstein locality is to be understood in the
Schr\""odinger picture of quantum mechanics. This notion is perfectly compatible
with the Bell non-locality exhibited by entangled states. Contrary to some
beliefs that quantum mechanics is incomplete, it is, in fact, its
overcompleteness as exemplified by different pictures of quantum physics, that
points to the same underlying reality.",Vlatko Vedral,arXiv,quant-ph
Microwave Quantum Memristors,https://arxiv.org/abs/2311.06925,Novel Quantum Devices,Microwave Quantum Memcapacitor Effect,"Developing the field of neuromorphic quantum computing necessitates designing
scalable quantum memory devices. Here, we propose a superconducting quantum
memory device in the microwave regime, termed as a microwave quantum
memcapacitor. It comprises two linked resonators, the primary one is coupled to
a Superconducting Quantum Interference Device, which allows for the modulation
of the resonator properties through external magnetic flux. The auxiliary
resonator, operated through weak measurements, provides feedback to the primary
resonator, ensuring stable memory behaviour. This device operates with a
classical input in one cavity while reading the response in the other, serving
as a fundamental building block toward arrays of microwave quantum
memcapacitors. We observe that a bipartite setup can retain its memory
behaviour and gains entanglement and quantum correlations. Our findings pave
the way for the experimental implementation of memcapacitive superconducting
quantum devices and memory device arrays for neuromorphic quantum computing.","X. -Y. Qiu, S. Kumar, F. A. Cárdenas-López, G. Alvarado Barrios, E. Solano, F. Albarrán-Arriagada",arXiv,"quant-ph, cond-mat.supr-con"
Mitigating the quantum hype - Olivier Ezratty,https://arxiv.org/abs/2202.01925,,Mitigating the quantum hype,"We are in the midst of quantum hype with some excessive claims of quantum
computing potential, many vendors' and even some research organizations'
exaggerations, and a funding frenzy for very low technology readiness level
startups. Governments are contributing to this hype with their large quantum
initiatives and their technology sovereignty aspirations. Technology hypes are
not bad per se since they create emulation, drive innovations and also
contribute to attracting new talents. It works as scientists and vendors
deliver progress and innovation on a continuous basis after a so-called peak of
expectations. It fails with exaggerated overpromises and underdeliveries that
last too long. It could cut short research and innovation funding, creating
some sort of quantum winter. After looking at the shape and form of technology
and science hypes and driving some lessons from past hypes, we investigate the
current quantum hype and its specifics. We find that, although there is some
significant uncertainty on the potential to create real scalable quantum
computers, the scientific and vendor fields are relatively sane and solid
compared to other technology hypes. The vendors hype has some profound and
disruptive impact on the organization of fundamental research. Also, quantum
technologies comprise other fields like quantum telecommunications and quantum
sensing with a higher technology readiness level, which are less prone to hype.
We then make some proposals to mitigate the potential negative effects of the
current quantum hype including recommendations on scientific communication to
strengthen the trust in quantum science, vendor behavior improvements,
benchmarking methodologies, public education and putting in place a responsible
research and innovation approach.",Olivier Ezratty,arXiv,"physics.soc-ph, physics.hist-ph, quant-ph"
"Mitiq: A software package for error mitigation on noisy quantum computers - Ryan LaRose, Andrea Mari, Sarah Kaiser, Peter J. Karalekas, Andre A. Alves, ...",https://arxiv.org/abs/2009.04417,,"Mitiq: A software package for error mitigation on noisy quantum
  computers","We introduce Mitiq, a Python package for error mitigation on noisy quantum
computers. Error mitigation techniques can reduce the impact of noise on
near-term quantum computers with minimal overhead in quantum resources by
relying on a mixture of quantum sampling and classical post-processing
techniques. Mitiq is an extensible toolkit of different error mitigation
methods, including zero-noise extrapolation, probabilistic error cancellation,
and Clifford data regression. The library is designed to be compatible with
generic backends and interfaces with different quantum software frameworks. We
describe Mitiq using code snippets to demonstrate usage and discuss features
and contribution guidelines. We present several examples demonstrating error
mitigation on IBM and Rigetti superconducting quantum processors as well as on
noisy simulators.","Ryan LaRose, Andrea Mari, Sarah Kaiser, Peter J. Karalekas, Andre A. Alves, Piotr Czarnik, Mohamed El Mandouh, Max H. Gordon, Yousef Hindy, Aaron Robertson, Purva Thakre, Misty Wahl, Danny Samuel, Rahul Mistri, Maxime Tremblay, Nick Gardner, Nathaniel T. Stemen, Nathan Shammah, William J. Zeng",arXiv,"quant-ph, cs.ET"
"Multi-state quantum simulations via model-space quantum imaginary time evolution - Takashi Tsuchimochi, Yoohee Ryo, Siu Chung Tsang, Seiichiro L. Ten-no",https://arxiv.org/abs/2206.04494,,"Multi-state quantum simulations via model-space quantum imaginary time
  evolution","We introduce the framework of model space into quantum imaginary time
evolution (QITE) to enable stable estimation of ground and excited states using
a quantum computer. Model-space QITE (MSQITE) propagates a model space to the
exact one by retaining its orthogonality, and hence is able to describe
multiple states simultaneously. The quantum Lanczos (QLanczos) algorithm is
extended to MSQITE to accelerate the convergence. The present scheme is found
to outperform both the standard QLanczos and the recently proposed
folded-spectrum QITE in simulating excited states. Moreover, we demonstrate
that spin contamination can be effectively removed by shifting the imaginary
time propagator, and thus excited states with a particular spin quantum number
are efficiently captured without falling into the different spin states that
have lower energies. We also investigate how different levels of the unitary
approximation employed in MSQITE can affect the results. The effectiveness of
the algorithm over QITE is demonstrated by noise simulations for the H4 model
system.","Takashi Tsuchimochi, Yoohee Ryo, Siu Chung Tsang, Seiichiro L. Ten-no",arXiv,"quant-ph, cond-mat.str-el, physics.chem-ph"
"Multiplexed quantum repeaters based on dual-species trapped-ion systems - Prajit Dhara, Norbert M. Linke, Edo Waks, Saikat Guha, Kaushik P. Seshadreesan",https://arxiv.org/abs/2105.06707,,Multiplexed quantum repeaters based on dual-species trapped-ion systems,"Trapped ions form an advanced technology platform for quantum information
processing with long qubit coherence times, high-fidelity quantum logic gates,
optically active qubits, and a potential to scale up in size while preserving a
high level of connectivity between qubits. These traits make them attractive
not only for quantum computing but also for quantum networking. Dedicated,
special-purpose trapped-ion processors in conjunction with suitable
interconnecting hardware can be used to form quantum repeaters that enable
high-rate quantum communications between distant trapped-ion quantum computers
in a network. In this regard, hybrid traps with two distinct species of ions,
where one ion species can generate ion-photon entanglement that is useful for
optically interfacing with the network and the other has long memory lifetimes,
useful for qubit storage, have been proposed for entanglement distribution. We
consider an architecture for a repeater based on such dual-species trapped-ion
systems. We propose and analyze a protocol based on spatial and temporal mode
multiplexing for entanglement distribution across a line network of such
repeaters. Our protocol offers enhanced rates compared to rates previously
reported for such repeaters. We determine the ion resources required at the
repeaters to attain the enhanced rates, and the best rates attainable when
constraints are placed on the number of repeaters and the number of ions per
repeater. Our results bolster the case for near-term trapped-ion systems as
quantum repeaters for long-distance quantum communications.","Prajit Dhara, Norbert M. Linke, Edo Waks, Saikat Guha, Kaushik P. Seshadreesan",arXiv,quant-ph
"NetSquid, a NETwork Simulator for QUantum Information using Discrete events - Tim Coopmans, Robert Knegjens, Axel Dahlberg, David Maier, Loek Nijsten, ...",https://arxiv.org/abs/2010.12535,,"NetSquid, a NETwork Simulator for QUantum Information using Discrete
  events","In order to bring quantum networks into the real world, we would like to
determine the requirements of quantum network protocols including the
underlying quantum hardware. Because detailed architecture proposals are
generally too complex for mathematical analysis, it is natural to employ
numerical simulation. Here we introduce NetSquid, the NETwork Simulator for
QUantum Information using Discrete events, a discrete-event based platform for
simulating all aspects of quantum networks and modular quantum computing
systems, ranging from the physical layer and its control plane up to the
application level. We study several use cases to showcase NetSquid's power,
including detailed physical layer simulations of repeater chains based on
nitrogen vacancy centres in diamond as well as atomic ensembles. We also study
the control plane of a quantum switch beyond its analytically known regime, and
showcase NetSquid's ability to investigate large networks by simulating
entanglement distribution over a chain of up to one thousand nodes.","Tim Coopmans, Robert Knegjens, Axel Dahlberg, David Maier, Loek Nijsten, Julio de Oliveira Filho, Martijn Papendrecht, Julian Rabbie, Filip Rozpędek, Matthew Skrzypczyk, Leon Wubben, Walter de Jong, Damian Podareanu, Ariana Torres-Knoop, David Elkouss, Stephanie Wehner",arXiv,quant-ph
Noisy dynamical systems evolve error correcting codes and modularity,https://arxiv.org/pdf/2303.14448.pdf,Quantum Error Mitigation,Noisy dynamical systems evolve error correcting codes and modularity,"Noise is a ubiquitous feature of the physical world. As a result, the first
prerequisite of life is fault tolerance: maintaining integrity of state despite
external bombardment. Recent experimental advances have revealed that
biological systems achieve fault tolerance by implementing mathematically
intricate error-correcting codes and by organizing in a modular fashion that
physically separates functionally distinct subsystems. These elaborate
structures represent a vanishing volume in the massive genetic configuration
space. How is it possible that the primitive process of evolution, by which all
biological systems evolved, achieved such unusual results? In this work,
through experiments in Boolean networks, we show that the simultaneous presence
of error correction and modularity in biological systems is no coincidence.
Rather, it is a typical co-occurrence in noisy dynamic systems undergoing
evolution. From this, we deduce the principle of error correction enhanced
evolvability: systems possessing error-correcting codes are more effectively
improved by evolution than those without.","Trevor McCourt, Ila R. Fiete, Isaac L. Chuang",arXiv,"q-bio.PE, nlin.AO, q-bio.NC"
"Observable Thermalization: Theory, Numerical and Analytical Evidence",https://arxiv.org/pdf/2309.15173.pdf,Commercial and Philosophical Views,Observable Statistical Mechanics,"Understanding equilibration and thermalization in isolated many-body quantum
systems is a central challenge in quantum physics. The traditional approach
focuses on the study of the full state of the quantum system which, at
equilibrium, is best described by the Diagonal Ensemble. Here, we present
Observable Statistical Mechanics, a novel paradigm that shifts attention from
the full quantum state to the statistics of measurement outcomes. This approach
is grounded in the Maximum Observable Entropy Principle, positing that
equilibrium measurement statistics tend to maximize observable entropy under
conserved average energy. By focusing on accessible measurements, the theory
accurately predicts equilibrium probability distributions without needing
detailed microscopic information like the energy eigenstates. Extensive
numerical experiments on 7 spin-1/2 Hamiltonians demonstrate the broad
applicability and robustness of this framework.","Lodovico Scarpa, Abdulla Alhajri, Vlatko Vedral, Fabio Anza",arXiv,"quant-ph, cond-mat.stat-mech"
On Circuit-based Hybrid Quantum Neural Networks for Remote Sensing Imagery Classification,https://arxiv.org/abs/2109.09484,Quantum Machine Learning (QML),"On Circuit-based Hybrid Quantum Neural Networks for Remote Sensing
  Imagery Classification","This article aims to investigate how circuit-based hybrid Quantum
Convolutional Neural Networks (QCNNs) can be successfully employed as image
classifiers in the context of remote sensing. The hybrid QCNNs enrich the
classical architecture of CNNs by introducing a quantum layer within a standard
neural network. The novel QCNN proposed in this work is applied to the Land Use
and Land Cover (LULC) classification, chosen as an Earth Observation (EO) use
case, and tested on the EuroSAT dataset used as reference benchmark. The
results of the multiclass classification prove the effectiveness of the
presented approach, by demonstrating that the QCNN performances are higher than
the classical counterparts. Moreover, investigation of various quantum circuits
shows that the ones exploiting quantum entanglement achieve the best
classification scores. This study underlines the potentialities of applying
quantum computing to an EO case study and provides the theoretical and
experimental background for futures investigations.","Alessandro Sebastianelli, Daniela A. Zaidenberg, Dario Spiller, Bertrand Le Saux, Silvia Liberata Ullo",arXiv,"eess.IV, cs.CV, cs.ET, quant-ph"
"One-Dimensional Quantum Walks - Andris Ambainis, Eric Bach, Ashwin Nayak, Ashvin Vishwanath, John Watrous",https://dl.acm.org/doi/10.1145/380752.380757,,One-dimensional quantum walks,Unknown,"Andris Ambainis, Eric Bach, Ashwin Nayak, Ashvin Vishwanath, John Watrous",Proceedings of the thirty-third annual ACM symposium on Theory of computing,
"Optimizing quantum noise-induced reservoir computing for nonlinear and chaotic time series prediction - Daniel Fry, Amol Deshmukh, Samuel Yen-Chi Chen, Vladimir Rastunkov, Vanio Markov",https://arxiv.org/abs/2303.05488,,"Optimizing quantum noise-induced reservoir computing for nonlinear and
  chaotic time series prediction","Quantum reservoir computing is strongly emerging for sequential and time
series data prediction in quantum machine learning. We make advancements to the
quantum noise-induced reservoir, in which reservoir noise is used as a resource
to generate expressive, nonlinear signals that are efficiently learned with a
single linear output layer. We address the need for quantum reservoir tuning
with a novel and generally applicable approach to quantum circuit
parameterization, in which tunable noise models are programmed to the quantum
reservoir circuit to be fully controlled for effective optimization. Our
systematic approach also involves reductions in quantum reservoir circuits in
the number of qubits and entanglement scheme complexity. We show that with only
a single noise model and small memory capacities, excellent simulation results
were obtained on nonlinear benchmarks that include the Mackey-Glass system for
100 steps ahead in the challenging chaotic regime.","Daniel Fry, Amol Deshmukh, Samuel Yen-Chi Chen, Vladimir Rastunkov, Vanio Markov",arXiv,quant-ph
